id	filename	md5	size	state
672d72db-b6a5-4809-befe-e7469bec51ec	TCGA-2L-AAQJ-01Z-00-DX1.91D3718F-DF73-48BA-BCB8-A00A000043F7.svs	e261896d17a75b8e758d0b8f87bbb12c	3385737162	released
b0e3653a-94b0-47fc-8054-ca9ca29c0683	TCGA-QK-A8Z7-01Z-00-DX1.B6D9B290-9AE2-4996-BF3A-30834C7E11EE.svs	1ce3adf5515f3cfef3f9f985248a662e	1066572418	released
2c8cc92d-4e70-44fd-977c-d2502c2c2412	TCGA-MQ-A6BN-01Z-00-DX1.6DA0AD03-A9F5-4F77-B9F6-C5CD4904975B.svs	c70026fd491e89c5543b8e3ab3c05190	66808827	released
de7b1442-cb5c-4cf0-b385-d83e0ff8ea68	TCGA-2G-AAG8-01Z-00-DX2.2D417527-C78D-470A-8B56-BEEF29679063.svs	a794db943941c682e34113f0763f303b	1389144934	released
9c5c4238-cd5d-4c31-93e2-4190a9611be7	TCGA-SC-A6LR-01Z-00-DX1.39A8C601-6445-4D04-B939-D5B860E558DD.svs	adc926a3a6eba1d000b42cfa46983bb8	441482450	released
e7eb457a-4c71-4bb1-aa5e-6a381de77347	TCGA-LK-A4O5-01Z-00-DX1.826C5B0C-5F02-494E-8CB3-02E5DEAACCBC.svs	1f73295ac2e2c78b3f2b75a0a196fecf	762200837	released
38cb2037-0689-44cd-b356-f9fbcfdf152f	TCGA-2G-AAFY-01Z-00-DX1.BE61B2D9-B2B6-423A-B7BE-4BEE723B786C.svs	a1b2b4d227c9d9c813186922134fe008	1213559118	released
cd672894-1674-4f09-89c8-767e13ba3f83	TCGA-CE-A481-01Z-00-DX1.2CF5B07A-E6DE-4F3F-A00A-A55F2BBDA57C.svs	44be2a89bdda8ea084031c0f589d235a	902117476	released
e722419f-8c81-4362-8687-b1d75c57587e	TCGA-N8-A4PM-01Z-00-DX1.9C154E50-6D39-4BC9-9CB0-A347E71969C2.svs	c848f60f1f910e4e79f6868badebfef3	1616092290	released
0588e10e-2447-42b6-af9c-746b81b4d518	TCGA-NH-A50V-01Z-00-DX1.408BA0A6-E569-4464-A8CB-D6553A4DF9E0.svs	b9bd9c34a2f9cd614b6730e9bb8bd7e3	1504733163	released
16072d19-61cc-44c6-8f77-31fef3f3ceb1	TCGA-VS-A9UD-01Z-00-DX1.9B341391-177B-46A3-AC50-C287FFAE8A3F.svs	21a4f9780689bbd6362ff1cec45ecef8	777717985	released
